                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1633,                 2.5368,                  1.217,                0.61735,                0.51986,                0.56817,                0.38672,                 1.1871,                 1.8464,                 1.2023,               0.070094,              0.0033229,              0.0033229
                      2,                 1.2793,                 1.9181,                 1.3019,                0.57378,                0.52651,                0.55168,                0.34021,                 1.2902,                 1.7565,                 1.2982,               0.040028,              0.0065903,              0.0065903
                      3,                 1.3876,                 1.9698,                 1.3896,                0.44687,                0.42324,                0.40293,                0.20833,                 1.5136,                 2.0239,                 1.5339,              0.0098965,              0.0097917,              0.0097917
                      4,                 1.5132,                 2.1339,                 1.4849,                0.52825,                0.44452,                0.48253,                0.25324,                 1.5939,                 2.1932,                 1.6209,               0.009703,               0.009703,               0.009703
                      5,                 1.5244,                 2.1256,                 1.5101,                0.52868,                0.41689,                0.43011,                 0.2339,                 1.6898,                 2.1153,                 1.7025,               0.009703,               0.009703,               0.009703
                      6,                 1.5193,                 2.0415,                 1.4995,                0.59768,                 0.4611,                0.51457,                0.29204,                 1.5061,                 1.8188,                 1.5325,               0.009604,               0.009604,               0.009604
                      7,                 1.4667,                 1.9438,                 1.4753,                0.64258,                0.49392,                0.55701,                0.34746,                 1.4815,                 1.6619,                 1.4579,               0.009505,               0.009505,               0.009505
                      8,                 1.4416,                 1.8894,                 1.4603,                 0.7103,                0.51454,                0.58765,                0.35691,                 1.4476,                 1.6678,                 1.4646,               0.009406,               0.009406,               0.009406
                      9,                 1.4321,                 1.8548,                 1.4549,                0.63951,                0.56974,                0.59224,                0.35411,                 1.4341,                 1.5813,                 1.4386,               0.009307,               0.009307,               0.009307
                     10,                 1.4232,                 1.8375,                 1.4536,                0.60948,                0.52836,                0.58269,                0.35711,                 1.4303,                 1.5762,                 1.4396,               0.009208,               0.009208,               0.009208
                     11,                 1.4058,                  1.772,                 1.4163,                0.59503,                0.46348,                0.51317,                0.30888,                 1.5099,                 1.7659,                 1.4998,               0.009109,               0.009109,               0.009109
                     12,                 1.3922,                 1.7454,                 1.4181,                0.66151,                0.51788,                0.58958,                0.37119,                 1.4379,                 1.5525,                 1.4393,                0.00901,                0.00901,                0.00901
                     13,                 1.3839,                 1.6743,                 1.4082,                0.75522,                0.53152,                0.64333,                0.39766,                 1.4302,                 1.4862,                 1.4407,               0.008911,               0.008911,               0.008911
                     14,                 1.3429,                 1.6544,                 1.3894,                0.69475,                0.60158,                0.65466,                0.40207,                 1.3989,                 1.4549,                 1.4208,               0.008812,               0.008812,               0.008812
                     15,                 1.3399,                 1.6305,                 1.3883,                0.73715,                0.55679,                0.65477,                0.41366,                 1.4069,                 1.4475,                 1.4194,               0.008713,               0.008713,               0.008713
                     16,                 1.3517,                 1.6045,                 1.3859,                0.72339,                0.56574,                 0.6376,                0.39534,                 1.3855,                 1.4975,                 1.4036,               0.008614,               0.008614,               0.008614
                     17,                 1.3226,                 1.5809,                 1.3766,                0.76148,                0.60741,                0.68749,                0.43563,                 1.3573,                 1.3665,                 1.3855,               0.008515,               0.008515,               0.008515
                     18,                 1.3151,                 1.5534,                 1.3655,                0.81265,                0.61495,                0.71364,                0.46941,                 1.3235,                 1.3453,                 1.3662,               0.008416,               0.008416,               0.008416
                     19,                 1.3054,                 1.5258,                 1.3591,                0.79905,                0.60993,                0.71165,                0.46183,                 1.3338,                 1.2938,                 1.3646,               0.008317,               0.008317,               0.008317
                     20,                 1.2895,                 1.5077,                 1.3466,                 0.7802,                0.59462,                0.69737,                0.44964,                 1.3569,                 1.3466,                 1.3897,               0.008218,               0.008218,               0.008218
                     21,                 1.2949,                 1.4839,                 1.3388,                0.75274,                0.62302,                0.69799,                0.45392,                 1.3308,                 1.3351,                 1.3576,               0.008119,               0.008119,               0.008119
                     22,                 1.2775,                 1.4713,                 1.3423,                0.76205,                0.63513,                0.71701,                0.46743,                 1.3103,                 1.3199,                 1.3484,                0.00802,                0.00802,                0.00802
                     23,                 1.2669,                 1.4483,                 1.3337,                0.74152,                 0.6561,                0.71094,                0.46387,                 1.3233,                 1.2776,                 1.3468,               0.007921,               0.007921,               0.007921
                     24,                 1.2532,                 1.4192,                 1.3286,                0.76836,                0.63286,                0.72429,                0.47563,                 1.3076,                 1.2614,                 1.3415,               0.007822,               0.007822,               0.007822
                     25,                 1.2501,                 1.4039,                 1.3164,                0.78873,                0.63112,                0.72556,                0.48249,                 1.3077,                 1.2684,                 1.3463,               0.007723,               0.007723,               0.007723
                     26,                  1.238,                 1.3915,                 1.3117,                0.81936,                0.64175,                0.73529,                0.48866,                 1.2914,                 1.2371,                  1.337,               0.007624,               0.007624,               0.007624
                     27,                 1.2411,                 1.3888,                 1.3124,                 0.7733,                0.63556,                 0.7257,                0.48468,                 1.3034,                 1.2321,                 1.3378,               0.007525,               0.007525,               0.007525
                     28,                 1.2031,                 1.3605,                  1.298,                0.80872,                0.63402,                0.74746,                0.50031,                 1.2978,                 1.2383,                 1.3385,               0.007426,               0.007426,               0.007426
                     29,                 1.2313,                 1.3342,                 1.2987,                0.80701,                0.61712,                0.72756,                0.48916,                 1.2989,                 1.2151,                 1.3251,               0.007327,               0.007327,               0.007327
                     30,                 1.2195,                 1.3411,                  1.305,                0.79871,                0.67481,                0.74562,                0.50263,                 1.3093,                 1.1974,                 1.3369,               0.007228,               0.007228,               0.007228
                     31,                 1.2102,                 1.3042,                 1.2872,                 0.7736,                0.67856,                0.75441,                0.50674,                 1.2847,                 1.1975,                  1.326,               0.007129,               0.007129,               0.007129
                     32,                 1.1817,                 1.2885,                 1.2697,                0.77881,                0.66237,                0.73999,                0.50362,                 1.2665,                 1.1976,                 1.3093,                0.00703,                0.00703,                0.00703
                     33,                 1.1893,                 1.2968,                 1.2822,                0.80593,                0.67314,                0.75894,                0.50974,                 1.2702,                 1.1517,                 1.3105,               0.006931,               0.006931,               0.006931
                     34,                 1.1729,                  1.257,                 1.2723,                0.75058,                0.66369,                 0.7415,                0.49214,                 1.2751,                 1.1802,                 1.3205,               0.006832,               0.006832,               0.006832
                     35,                 1.1776,                 1.2609,                 1.2682,                 0.8318,                0.65777,                0.76674,                0.50911,                 1.2708,                  1.154,                 1.3049,               0.006733,               0.006733,               0.006733
                     36,                 1.1562,                 1.2461,                 1.2678,                0.74398,                0.68447,                0.73928,                0.48814,                 1.3008,                 1.1809,                 1.3266,               0.006634,               0.006634,               0.006634
                     37,                 1.1846,                 1.2589,                   1.27,                0.76164,                0.66697,                0.74174,                0.50015,                 1.2894,                  1.158,                 1.3118,               0.006535,               0.006535,               0.006535
                     38,                 1.1551,                 1.2082,                 1.2485,                0.82213,                 0.6619,                 0.7657,                0.51335,                  1.268,                 1.1341,                 1.3191,               0.006436,               0.006436,               0.006436
                     39,                 1.1535,                 1.2155,                 1.2523,                0.83508,                0.64299,                0.75131,                0.51256,                 1.2606,                 1.1208,                 1.3022,               0.006337,               0.006337,               0.006337
                     40,                 1.1511,                 1.2153,                 1.2495,                0.78435,                0.65435,                0.73824,                0.49758,                 1.2632,                 1.1588,                 1.3144,               0.006238,               0.006238,               0.006238
                     41,                 1.1298,                 1.1654,                 1.2357,                0.85274,                0.65632,                0.76813,                0.51957,                 1.2846,                 1.1277,                 1.3335,               0.006139,               0.006139,               0.006139
                     42,                 1.1269,                 1.1662,                 1.2335,                0.81998,                0.70303,                 0.7752,                0.52948,                  1.267,                 1.1013,                 1.3053,                0.00604,                0.00604,                0.00604
                     43,                  1.136,                 1.1819,                 1.2416,                0.86751,                0.67601,                0.79703,                0.53637,                 1.2499,                 1.0781,                  1.289,               0.005941,               0.005941,               0.005941
                     44,                 1.1322,                 1.1619,                 1.2345,                0.81427,                0.68732,                0.77571,                0.53061,                  1.261,                 1.0969,                 1.3093,               0.005842,               0.005842,               0.005842
                     45,                 1.1241,                 1.1517,                 1.2368,                0.87022,                0.68708,                0.79002,                0.54588,                 1.2324,                 1.0808,                 1.2827,               0.005743,               0.005743,               0.005743
                     46,                 1.1233,                 1.1454,                 1.2285,                0.83422,                0.69133,                0.78348,                0.52642,                 1.2626,                  1.104,                 1.2913,               0.005644,               0.005644,               0.005644
                     47,                 1.1063,                 1.1157,                 1.2235,                0.84932,                0.68775,                0.79107,                0.54261,                  1.256,                 1.0716,                 1.2884,               0.005545,               0.005545,               0.005545
                     48,                 1.1009,                 1.1139,                 1.2151,                0.82287,                0.66125,                0.76574,                0.53211,                 1.2461,                 1.0856,                 1.2846,               0.005446,               0.005446,               0.005446
                     49,                 1.1078,                 1.1171,                 1.2148,                0.83434,                0.68948,                0.77789,                0.52353,                 1.2467,                 1.0936,                 1.2864,               0.005347,               0.005347,               0.005347
                     50,                 1.0938,                 1.1018,                 1.2154,                0.88088,                 0.6631,                0.78707,                0.54517,                 1.2518,                 1.0431,                 1.2911,               0.005248,               0.005248,               0.005248
                     51,                 1.0864,                 1.0931,                 1.2084,                0.82392,                0.70972,                0.79323,                0.53902,                 1.2322,                  1.048,                 1.2784,               0.005149,               0.005149,               0.005149
                     52,                  1.081,                  1.081,                 1.2003,                0.82786,                0.67382,                0.77458,                0.53527,                 1.2509,                 1.0783,                 1.2886,                0.00505,                0.00505,                0.00505
                     53,                 1.0794,                 1.0766,                 1.2041,                0.78356,                0.71662,                0.79101,                0.54703,                 1.2372,                 1.0561,                 1.2805,               0.004951,               0.004951,               0.004951
                     54,                 1.0715,                 1.0503,                 1.1948,                0.84572,                0.69499,                0.78995,                0.54057,                 1.2525,                 1.0504,                 1.2861,               0.004852,               0.004852,               0.004852
                     55,                 1.0672,                 1.0471,                 1.1938,                0.83716,                0.68193,                0.77638,                0.54106,                 1.2331,                 1.0536,                 1.2758,               0.004753,               0.004753,               0.004753
                     56,                 1.0653,                 1.0503,                 1.1911,                0.83245,                0.70637,                0.79508,                0.55238,                  1.226,                 1.0284,                 1.2748,               0.004654,               0.004654,               0.004654
                     57,                 1.0753,                 1.0588,                 1.1991,                0.87739,                0.67734,                0.78844,                0.54727,                 1.2442,                 1.0475,                  1.285,               0.004555,               0.004555,               0.004555
                     58,                 1.0534,                 1.0368,                 1.1845,                0.82408,                0.70631,                0.79732,                0.54833,                 1.2365,                 1.0513,                 1.2825,               0.004456,               0.004456,               0.004456
                     59,                 1.0562,                 1.0187,                 1.1846,                0.84622,                0.69274,                0.80366,                0.56208,                 1.2446,                 1.0237,                 1.2766,               0.004357,               0.004357,               0.004357
                     60,                  1.044,                0.99947,                 1.1727,                0.80382,                0.71028,                0.80916,                0.55971,                 1.2281,                 1.0088,                 1.2675,               0.004258,               0.004258,               0.004258
                     61,                 1.0276,                 1.0051,                 1.1709,                 0.8605,                0.69664,                0.81122,                0.56244,                 1.2319,                0.99931,                 1.2764,               0.004159,               0.004159,               0.004159
                     62,                 1.0398,                0.99005,                 1.1807,                0.82117,                0.70526,                0.79705,                0.55333,                 1.2162,                 1.0267,                 1.2567,                0.00406,                0.00406,                0.00406
                     63,                 1.0304,                0.98514,                 1.1692,                0.83984,                0.70659,                0.79989,                0.55314,                 1.2476,                 1.0095,                 1.2859,               0.003961,               0.003961,               0.003961
                     64,                 1.0246,                0.97701,                 1.1671,                 0.8749,                0.70476,                0.81797,                0.56245,                 1.2246,                0.99518,                 1.2666,               0.003862,               0.003862,               0.003862
                     65,                 1.0209,                0.97408,                 1.1614,                0.84867,                0.73378,                0.82005,                0.57376,                 1.2134,                0.98956,                 1.2639,               0.003763,               0.003763,               0.003763
                     66,                 1.0148,                0.96863,                 1.1557,                0.86273,                0.70445,                0.80957,                0.56116,                 1.2368,                0.99812,                 1.2784,               0.003664,               0.003664,               0.003664
                     67,                 1.0159,                0.96517,                 1.1603,                0.85055,                0.70382,                0.80799,                0.56436,                 1.2169,                 1.0025,                 1.2705,               0.003565,               0.003565,               0.003565
                     68,                 1.0041,                 0.9516,                 1.1567,                  0.872,                0.70309,                0.81572,                0.57475,                 1.2126,                0.99746,                 1.2609,               0.003466,               0.003466,               0.003466
                     69,                0.99133,                0.93805,                 1.1451,                 0.8472,                0.70208,                0.79297,                 0.5567,                 1.2143,                 1.0171,                 1.2662,               0.003367,               0.003367,               0.003367
                     70,                 0.9926,                0.92598,                 1.1486,                0.83519,                0.71398,                0.79793,                0.55937,                 1.2261,                 1.0068,                 1.2672,               0.003268,               0.003268,               0.003268
                     71,                 1.0026,                0.93838,                 1.1516,                0.86464,                0.69616,                 0.8106,                0.56839,                 1.2194,                0.99349,                 1.2665,               0.003169,               0.003169,               0.003169
                     72,                0.99652,                0.93528,                 1.1498,                 0.8302,                0.72997,                0.81798,                0.58332,                  1.197,                0.97171,                  1.251,                0.00307,                0.00307,                0.00307
                     73,                0.98273,                0.90926,                 1.1465,                0.84546,                 0.7116,                0.80505,                0.57073,                 1.2228,                0.99207,                 1.2682,               0.002971,               0.002971,               0.002971
                     74,                0.98529,                0.92477,                 1.1445,                0.88428,                0.71764,                0.82015,                0.57863,                 1.2057,                0.97183,                 1.2628,               0.002872,               0.002872,               0.002872
                     75,                0.97414,                0.90147,                 1.1331,                0.81387,                0.75456,                0.81559,                0.57081,                 1.2163,                0.97955,                 1.2619,               0.002773,               0.002773,               0.002773
                     76,                0.97778,                 0.8994,                 1.1378,                0.85647,                0.71277,                  0.807,                0.57418,                 1.2078,                0.97855,                 1.2584,               0.002674,               0.002674,               0.002674
                     77,                 0.9735,                0.88473,                 1.1336,                0.86722,                 0.7023,                0.81034,                0.57224,                 1.2095,                0.98611,                 1.2551,               0.002575,               0.002575,               0.002575
                     78,                0.96639,                0.88577,                  1.132,                0.87219,                0.71238,                0.82017,                0.58603,                 1.1973,                0.97035,                 1.2535,               0.002476,               0.002476,               0.002476
                     79,                0.96526,                0.88131,                 1.1314,                0.84741,                0.72137,                0.81598,                0.57142,                  1.213,                0.97748,                 1.2631,               0.002377,               0.002377,               0.002377
                     80,                0.93878,                0.86683,                 1.1186,                0.87224,                0.71247,                0.81358,                0.58178,                 1.2039,                0.97691,                 1.2624,               0.002278,               0.002278,               0.002278
                     81,                0.94894,                0.85775,                 1.1145,                0.87687,                0.71949,                0.81583,                0.58285,                 1.2087,                0.96308,                  1.259,               0.002179,               0.002179,               0.002179
                     82,                0.94532,                0.85194,                  1.116,                0.88905,                0.70927,                0.82488,                0.59225,                 1.2013,                0.95624,                 1.2585,                0.00208,                0.00208,                0.00208
                     83,                0.94472,                 0.8507,                 1.1133,                0.86472,                0.72259,                0.82281,                0.58496,                 1.2024,                0.96552,                 1.2478,               0.001981,               0.001981,               0.001981
                     84,                0.92865,                0.83028,                 1.1083,                0.86395,                0.74516,                0.82537,                0.58008,                 1.2086,                0.97568,                 1.2613,               0.001882,               0.001882,               0.001882
                     85,                0.94119,                0.84211,                 1.1141,                0.85909,                 0.7426,                0.82652,                0.58151,                 1.2057,                0.96079,                 1.2573,               0.001783,               0.001783,               0.001783
                     86,                0.92107,                 0.8291,                 1.1035,                0.88715,                0.72622,                0.82829,                0.58974,                 1.2001,                 0.9452,                  1.256,               0.001684,               0.001684,               0.001684
                     87,                0.92297,                0.82618,                 1.1053,                0.88791,                0.70782,                0.82693,                0.58482,                 1.1961,                0.95684,                 1.2527,               0.001585,               0.001585,               0.001585
                     88,                 0.9278,                0.83662,                 1.1103,                0.87181,                0.72418,                0.81909,                0.58721,                  1.203,                0.95385,                 1.2571,               0.001486,               0.001486,               0.001486
                     89,                0.92496,                0.81875,                 1.1029,                0.86242,                0.73187,                0.82284,                0.58408,                 1.1984,                0.93728,                 1.2573,               0.001387,               0.001387,               0.001387
                     90,                0.91211,                0.81203,                 1.1009,                0.86644,                0.72552,                0.82634,                0.58952,                  1.202,                0.94338,                 1.2476,               0.001288,               0.001288,               0.001288
                     91,                0.88384,                0.70493,                 1.0716,                0.87113,                0.72947,                 0.8128,                0.57366,                 1.2006,                0.95413,                 1.2541,               0.001189,               0.001189,               0.001189
                     92,                0.84734,                 0.6623,                 1.0491,                0.84475,                0.74466,                0.81746,                0.58393,                 1.2084,                0.93735,                 1.2585,                0.00109,                0.00109,                0.00109
                     93,                0.83942,                 0.6423,                  1.044,                0.87598,                0.71263,                 0.8179,                0.58292,                 1.2221,                0.94353,                 1.2659,               0.000991,               0.000991,               0.000991
                     94,                0.83878,                0.63919,                 1.0454,                0.89607,                0.70354,                0.81758,                0.58394,                 1.2295,                0.95567,                 1.2797,               0.000892,               0.000892,               0.000892
                     95,                0.83435,                0.63926,                 1.0443,                0.88291,                0.72617,                0.82168,                0.58819,                 1.2135,                0.94089,                 1.2685,               0.000793,               0.000793,               0.000793
                     96,                0.81198,                0.61813,                 1.0277,                0.86254,                0.73214,                0.82079,                0.58802,                 1.2144,                0.94587,                 1.2665,               0.000694,               0.000694,               0.000694
                     97,                0.83078,                0.62655,                 1.0387,                0.87633,                0.71247,                0.82111,                0.58759,                 1.2035,                0.93895,                 1.2661,               0.000595,               0.000595,               0.000595
                     98,                0.81667,                0.61716,                 1.0269,                0.85672,                0.73762,                0.82296,                0.59223,                  1.206,                0.93161,                 1.2669,               0.000496,               0.000496,               0.000496
                     99,                0.80544,                0.61242,                 1.0292,                0.87616,                0.70471,                 0.8222,                 0.5897,                  1.203,                0.94286,                 1.2653,               0.000397,               0.000397,               0.000397
                    100,                0.80755,                0.60782,                 1.0237,                0.86465,                0.72862,                0.82385,                0.59123,                 1.2026,                0.93508,                 1.2651,               0.000298,               0.000298,               0.000298
